,Unnamed: 0,acronym,summary,tags,has_tags,semantic_type,classification_data
461,461,OFAC,"The Office of Foreign Assets Control (OFAC) is a financial intelligence and enforcement agency of the U.S. Treasury Department. It administers and enforces  economic and trade sanctions in support of U.S. national security and foreign policy objectives. Under Presidential national emergency powers, OFAC carries out its activities against foreign states as well as a variety of other organizations and individuals, like terrorist groups, deemed to be a threat to U.S. national security.As a component of the U.S. Treasury Department, OFAC operates under the Office of Terrorism and Financial Intelligence and is primarily composed of intelligence targeters and lawyers. While many of OFAC's targets are broadly set by the White House, most individual cases are developed as a result of investigations by OFAC's Office of Global Targeting (OGT).Sometimes described as one of the ""most powerful yet unknown"" government agencies, OFAC was founded in 1950 and has the power to levy significant penalties against entities that defy its directives, including imposing fines, freezing assets, and barring parties from operating in the United States. In 2014, OFAC reached a record $963 million settlement with the French bank BNP Paribas, which was a portion of an $8.9 billion penalty imposed in relation to the case as a whole.

","[{'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 49, 'end': 58}, {'match': 'bank', 'norm': 'bank', 'case': 'lower', 'exact': True, 'start': 1215, 'end': 1219}]",True,policy,"{'policy': 0.5649290680885315, 'bank': 0.5522043704986572, 'regulatory body': 0.4724006652832031, 'guideline': 0.22481100261211395}"
462,462,PPF,"PPF Group N.V. is a Czech financial and investment group incorporated in the Netherlands. PPF Group invests in multiple market segments such as financial services, telecommunications, biotechnology, real estate and mechanical engineering. The reach of PPF Group spans from Europe to North America and across Asia. It is active in the Czech Republic, Slovakia, Serbia, Hungary, Montenegro, Netherlands, Bulgaria, Croatia, Poland, Romania, Slovenia, Russia, Kazakhstan, Finland, Germany, India, Indonesia, Vietnam, Philippines, China, France, United Kingdom and the US. The founder and majority shareholder, Petr Kellner (98.93%), was also estimated to be the wealthiest person in Czech Republic until his death in March 2021, according to Forbes magazine. The other two shareholders, Ladislav Bartoníček and Jean-Pascal Duvieusart, each hold a 0.535% share.
As of 31 December 2019, PPF Group's assets are worth 48.6 billion euros.

","[{'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 26, 'end': 35}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 144, 'end': 153}]",True,guideline,"{'guideline': 0.533989429473877, 'regulatory body': 0.4797120988368988, 'bank': 0.4476723372936249, 'policy': 0.3758312463760376}"
478,478,FRC,"The Financial Reporting Center (FRC)  in Somalia was established by the Anti-Money Laundering and Countering the Financing of Terrorism Act, 2016 to operate as a National Central Agency that is responsible for the receipt, analysis and appropriate dissemination of all information relating to money-laundering and terrorism financing.
The FRC serves as Somalia's Financial Intelligence Unit (FIU), an independent center of expertise in the analysis of suspicious financial activity and the investigation of financial crimes.","[{'match': 'money', 'norm': 'money', 'case': 'lower', 'exact': True, 'start': 293, 'end': 298}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 463, 'end': 472}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 507, 'end': 516}]",True,regulatory body,"{'regulatory body': 0.8756328225135803, 'policy': 0.35320228338241577, 'guideline': 0.1637311577796936, 'bank': 0.13599082827568054}"
488,488,FSP,"Florida State Prison (FSP), otherwise known as Raiford Prison, is a correctional institution located in unincorporated Bradford County, Florida. It was formerly known as the ""Florida State Prison-East Unit"" as it was originally part of Florida State Prison in Raiford, Florida (now known as Union Correctional Institution). The facility, a part of the Florida Department of Corrections, is located on State Road 16 right across the border from Union County. The institution opened in 1961, even though construction was not completed until 1968. With a maximum population of over 1,400 inmates, FSP is one of the largest prisons in the state. FSP houses one of the state's three death row cell blocks, and the state's execution chamber. Union Correctional Institution also houses male death row inmates while Lowell Annex houses female death row inmates.
Lethal injection became the standard method of execution in 2000. The electric chair can still be used by request of the inmate.
FSP sits in the center of several other prisons. It is surrounded by New River Correctional Institution, New River O-Unit, FSP West Unit, and sits across the river from Union Correctional Institution. Even though Union Correctional Institution is on the same property, immediately north-west of FSP, the county line (with Union County) runs in between the two, which makes Raiford the United States Postal Service address city of Union Correctional Institution, while Starke is the USPS address city of Florida State Prison.
FSP is Florida's only prison that is officially named ""prison"", with the other institutions being named ""Correctional Institutions"" (or ""Correctional Facility"" if it is a privately contracted prison).

","[{'match': 'standard', 'norm': 'standard', 'case': 'lower', 'exact': True, 'start': 882, 'end': 890}]",True,Non-Financial Entity,"{'regulatory body': 0.6431698799133301, 'guideline': 0.25859707593917847, 'finance': 0.1560787409543991, 'policy': 0.1341034471988678, 'bank': 0.08222983777523041}"
489,489,SGX,"The Singapore Exchange Limited (SGX) is an investment holding company located in Singapore and provides different services related to securities and derivatives trading and others. SGX is also a member of the World Federation of Exchanges and the Asian and Oceanian Stock Exchanges Federation.

","[{'match': 'securities', 'norm': 'securities', 'case': 'lower', 'exact': True, 'start': 134, 'end': 144}]",True,Other Financial Entity,"{'guideline': 0.47325825691223145, 'policy': 0.2948898375034332, 'regulatory body': 0.28758707642555237, 'bank': 0.060641538351774216}"
536,536,ISSN,"An International Standard Serial Number (ISSN) is an eight-digit serial number used to uniquely identify a serial publication, such as a magazine. The ISSN is especially helpful in distinguishing between serials with the same title. ISSNs are used in ordering, cataloging, interlibrary loans, and other practices in connection with serial literature.The ISSN system was first drafted as an International Organization for Standardization (ISO) international standard in 1971 and published as ISO 3297 in 1975. ISO subcommittee TC 46/SC 9 is responsible for maintaining the standard.
When a serial with the same content is published in more than one media type, a different ISSN is assigned to each media type. For example, many serials are published both in print and electronic media. The ISSN system refers to these types as print ISSN (p-ISSN) and electronic ISSN (e-ISSN). Consequently, as defined in ISO 3297:2007, every serial in the ISSN system is also assigned a linking ISSN (ISSN-L), typically the same as the ISSN assigned to the serial in its first published medium, which links together all ISSNs assigned to the serial in every medium.","[{'match': 'standard', 'norm': 'standard', 'case': 'lower', 'exact': True, 'start': 457, 'end': 465}, {'match': 'standard', 'norm': 'standard', 'case': 'lower', 'exact': True, 'start': 572, 'end': 580}]",True,Non-Financial Entity,"{'regulatory body': 0.421892911195755, 'guideline': 0.09363821148872375, 'bank': 0.06831682473421097, 'finance': 0.04926818981766701, 'policy': 0.04905488342046738}"
541,541,VASP,"VASP Flight 168, a Boeing 727-212, serial number 21347, registered PP-SRK, was a scheduled passenger flight from São Paulo to Fortaleza, Brazil which, on June 8, 1982, crashed into terrain while descending into Fortaleza, killing all 137 people on board.The crash of Flight 168 remains the third-highest death toll of any aviation accident in Brazil after Gol Transportes Aéreos Flight 1907 and TAM Airlines Flight 3054.

","[{'match': 'board', 'norm': 'board', 'case': 'lower', 'exact': True, 'start': 248, 'end': 253}]",True,Non-Financial Entity,"{'regulatory body': 0.43891629576683044, 'bank': 0.3659544289112091, 'policy': 0.3019181489944458, 'guideline': 0.2985115945339203, 'finance': 0.17929105460643768}"
543,543,SPV,"Orphan structure or Orphan SPV or orphaning are terms used in structured finance closely associated with creating SPVs (""Special Purpose Vehicles"") for securitisation transactions where the notional equity of the SPV is deliberately handed over to an unconnected 3rd party who themselves have no control over the SPV; thus the SPV becomes an ""orphan"" whose equity is controlled by no one.

","[{'match': 'finance', 'norm': 'finance', 'case': 'lower', 'exact': True, 'start': 73, 'end': 80}]",True,Other Financial Entity,"{'guideline': 0.11700074374675751, 'bank': 0.09655429422855377, 'policy': 0.08069200068712234, 'regulatory body': 0.044577766209840775}"
567,567,SYSC,"The Controlled Functions of the Financial Conduct Authority (FCA) are simplifying code names given to various functions within the financial services and relating to the carrying on of regulated activities by a firm. These are specified, under section 59 of the Financial Services and Markets Act which still stands as the reference after the FSA split into the FCA and the PRA. The FCA is solely responsible for all applications for approval for FCA Designated Controlled Functions for all FCA solo regulated firms.

","[{'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 131, 'end': 140}]",True,regulatory body,"{'regulatory body': 0.8652871251106262, 'guideline': 0.5353807210922241, 'policy': 0.3216937780380249, 'bank': 0.28271931409835815}"
574,574,NCUA,"This is a list of notable financial institutions worldwide that were severely affected by the Great Recession centered in 2007–2009.  The list includes banks (including savings and loan associations, commercial banks and investment banks), building societies and insurance companies that were:

taken over or merged with another financial institution;
nationalised by a government or central bank; or
declared insolvent or liquidated.","[{'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 26, 'end': 35}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 329, 'end': 338}, {'match': 'bank', 'norm': 'bank', 'case': 'lower', 'exact': True, 'start': 392, 'end': 396}]",True,bank,"{'bank': 0.8786316514015198, 'policy': 0.15019550919532776, 'guideline': 0.1179548129439354, 'regulatory body': 0.037714775651693344}"
575,575,ADGM,"[1]
Abu Dhabi Global Market (ADGM) is an international financial centre and free zone located on Al Maryah Island in the United Arab Emirates's capital, Abu Dhabi. The financial centre was established in 2013 and became fully operational in October 2015. It has three authorities – the financial services regulator, the registration bureau and the ADGM courts.In January 2015, the Abu Dhabi Global Market announced that it had renamed the location it was based in, “Sowwah Square”, to ""Abu Dhabi Global Market Square"".ADGM regulates the trading of digital assets and became an attractive jurisdiction for crypto companies after it introduced digital asset regulation in 2018. That same year ADGM joined the World Alliance of International Financial Centers.

","[{'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 55, 'end': 64}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 168, 'end': 177}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 286, 'end': 295}]",True,regulatory body,"{'regulatory body': 0.9692385196685791, 'guideline': 0.3423880636692047, 'policy': 0.33134594559669495, 'bank': 0.18358348309993744}"
576,576,RBNZ,"The Reserve Bank of New Zealand (RBNZ, Māori: Te Pūtea Matua) is the central bank of New Zealand. It was established in 1934 and is constituted under the Reserve Bank of New Zealand Act 1989. The governor of the Reserve Bank is responsible for New Zealand's currency and operating monetary policy. The Bank's current Governor is Adrian Orr. Employees of the bank operate under the framework of a managerial hierarchy.
The Reserve Bank of New Zealand does not offer financial services to the public nor does it offer deposit insurance, and its website refers people to other financial institutions.

","[{'match': 'bank', 'norm': 'bank', 'case': 'lower', 'exact': True, 'start': 77, 'end': 81}, {'match': 'bank', 'norm': 'bank', 'case': 'lower', 'exact': True, 'start': 358, 'end': 362}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 465, 'end': 474}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 574, 'end': 583}]",True,regulatory body,"{'regulatory body': 0.8673501014709473, 'bank': 0.7384910583496094, 'policy': 0.6740900278091431, 'guideline': 0.593207597732544}"
579,579,IRB,"An institutional review board (IRB), also known as an independent ethics committee (IEC), ethical review board (ERB), or research ethics board (REB), is a committee that applies research ethics by reviewing the methods proposed for research to ensure that they are ethical. Such boards are formally designated to approve (or reject), monitor, and review biomedical and behavioral research involving humans. They often conduct some form of risk-benefit analysis in an attempt to determine whether or not research should be conducted. The purpose of the IRB is to assure that appropriate steps are taken to protect the rights and welfare of humans participating as subjects in a research study. Along with developed countries, many developing countries have established national, regional or local Institutional Review Boards in order to safeguard ethical conduct of research concerning both national and international norms, regulations or codes.A key goal of IRBs is to protect human subjects from physical or psychological harm, which they attempt to do by reviewing research protocols and related materials. The protocol review assesses the ethics of the research and its methods, promotes fully informed and voluntary participation by prospective subjects capable of making such choices (or, if that is not possible, informed permission given by a suitable proxy), and seeks to maximize the safety of subjects. While its composition varies, it often includes a balance of academia and non-academia members. This serves to provide a greater scope of understanding which helps ensure ethics in research.
IRBs are most commonly used for studies in the fields of health and the social sciences, including anthropology, sociology, and psychology. Such studies may be clinical trials of new drugs or devices, studies of personal or social behavior, opinions or attitudes, or studies of how health care is delivered and might be improved.","[{'match': 'board', 'norm': 'board', 'case': 'lower', 'exact': True, 'start': 24, 'end': 29}, {'match': 'board', 'norm': 'board', 'case': 'lower', 'exact': True, 'start': 105, 'end': 110}, {'match': 'board', 'norm': 'board', 'case': 'lower', 'exact': True, 'start': 137, 'end': 142}]",True,Non-Financial Entity,"{'guideline': 0.5162561535835266, 'regulatory body': 0.4686933159828186, 'policy': 0.3444077670574188, 'bank': 0.23688091337680817, 'finance': 0.008171353489160538}"
580,580,TFEU,"The Treaty on the Functioning of the European Union (TFEU) is one of two treaties forming the constitutional basis of the European Union (EU), the other being the Treaty on European Union (TEU; also referred to as the Treaty of Maastricht). It was previously known as Treaty Establishing the European Community (TEC).The Treaty originated as the Treaty of Rome (fully the Treaty establishing the European Economic Community), which brought about the creation of the European Economic Community (EEC), the best-known of the European Communities (EC). It was signed on 25 March 1957 by Belgium, France, Italy, Luxembourg, the Netherlands and West Germany and came into force on 1 January 1958. It remains one of the two most important treaties in the modern-day European Union (EU).
Its name has been amended twice since 1957. The Maastricht Treaty of 1992 removed the word ""economic"" from the Treaty of Rome's official title and, in 2009, the Treaty of Lisbon renamed it the ""Treaty on the Functioning of the European Union"".
Following the 2005 referenda, which saw the failed attempt at launching a European Constitution, on 13 December 2007 the Lisbon Treaty was signed. This saw the 'TEC' renamed as the Treaty on the Functioning of the European Union (TFEU) and, once again, renumbered. The Lisbon reforms resulted in the merging of the three pillars into the reformed European Union.In March 2011, the European Council adopted a decision to amend the Treaty by adding a new paragraph to Article 136. The additional paragraph, which enables the establishment of a financial stability mechanism for the Eurozone, runs as follows:

The Member States whose currency is the euro may establish a stability mechanism to be activated if indispensable to safeguard the stability of the euro area as a whole. The granting of any required financial assistance under the mechanism will be made subject to strict conditionality.","[{'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 1567, 'end': 1576}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 1832, 'end': 1841}]",True,regulatory body,"{'regulatory body': 0.5999587178230286, 'policy': 0.3508354723453522, 'bank': 0.34466782212257385, 'guideline': 0.2267206460237503}"
581,581,TXT,"Trinitrotoluene (), more commonly known as TNT, more specifically 2,4,6-trinitrotoluene, and by its preferred IUPAC name 2-methyl-1,3,5-trinitrobenzene, is a chemical compound with the formula C6H2(NO2)3CH3.  TNT is occasionally used as a reagent in chemical synthesis, but it is best known as an explosive material with convenient handling properties.  The explosive yield of TNT is considered to be the standard comparative convention of bombs and asteroid impacts. In chemistry, TNT is used to generate charge transfer salts.","[{'match': 'standard', 'norm': 'standard', 'case': 'lower', 'exact': True, 'start': 405, 'end': 413}]",True,Non-Financial Entity,"{'regulatory body': 0.6344909071922302, 'guideline': 0.4391651451587677, 'bank': 0.2830507159233093, 'policy': 0.18014566600322723, 'finance': 0.006798207759857178}"
584,584,RTGS,"The Royal Thai General System of Transcription (RTGS) is the official system for rendering Thai words in the Latin alphabet. It was published by the Royal Institute of Thailand.It is used in road signs and government publications and is the closest method to a standard of transcription for Thai, but its use, even by the government, is inconsistent. The system is almost identical to the one that is defined by ISO 11940-2.","[{'match': 'standard', 'norm': 'standard', 'case': 'lower', 'exact': True, 'start': 261, 'end': 269}]",True,Non-Financial Entity,"{'regulatory body': 0.6999190449714661, 'policy': 0.2601380944252014, 'guideline': 0.22158043086528778, 'bank': 0.14588697254657745, 'finance': 0.08393644541501999}"
593,593,CRD,"The Capital Requirements Directives (CRD) for the financial services industry have introduced a supervisory framework in the European Union which reflects the Basel II and Basel III rules on capital measurement and capital standards.
Member States have progressively transposed, and firms of the financial service industry thus have had to apply, the CRD from 1 January 2007. Institutions were allowed to choose between the initial basic indicator approach, which increases the minimum capital requirement in Basel I approach from 8% to 15% and the standardised approach, which evaluates the business lines as a medium sophistication approaches of the new framework. The most sophisticated approaches, Advanced IRB approach and AMA or advanced measurement approach for operational risk were available from January 2008. From this date, all concerned EU firms had to comply with Basel II.
The new CRD IV package entered into force on 17 July 2013: this updated CRD simply transposes into EU law the latest global standards on bank capital adequacy commonly known as Basel III, which builds on and expands the existing Basel II regulatory base. CRD IV commonly refers to both the EU Directive 2013/36/EU and the EU Regulation 575/2013.The Capital Requirements Directives superseded the EU's earlier Capital Adequacy Directive that was first issued in 1993.

","[{'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 50, 'end': 59}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 296, 'end': 305}, {'match': 'bank', 'norm': 'bank', 'case': 'lower', 'exact': True, 'start': 1025, 'end': 1029}]",True,regulatory body,"{'regulatory body': 0.9332529306411743, 'bank': 0.8336402773857117, 'policy': 0.7961517572402954, 'guideline': 0.5990513563156128}"
594,594,SIFI,"A systemically important financial institution (SIFI) is a bank, insurance company, or other financial institution whose failure might trigger a financial crisis. They are colloquially referred to as ""too big to fail"".As the financial crisis of 2007–2008 unfolded, the international community moved to protect the global financial system through preventing the failure of SIFIs, or, if one does fail, limiting the adverse effects of its failure. In November 2011, the Financial Stability Board (FSB) published a list of global systemically important financial institutions (G-SIFIs).Also in November 2010, the Basel Committee on Banking Supervision (BCBS) introduced new guidance (known as Basel III) that also specifically target SIFIs. The main focus of the Basel III guidance is to increase bank capital requirements and to introduce capital surcharges for G-SIFIs. However, some economists warned in 2012 that the tighter Basel III capital regulation, which is primarily based on risk-weighted assets, may further negatively affect the stability of the financial system.It is important to note that both the FSB and the BCBS are only policy research and development entities. They do not establish laws, regulations or rules for any financial institution directly. They merely act in an advisory or guidance capacity when it comes to non G-SIFIs. It is up to each country's specific lawmakers and regulators to enact whatever portions of the recommendations they deem appropriate for their own domestic systemically important banks (D-SIBs) or national SIFIs (N-SIFIs). Each country's internal financial regulators make their own determination of what is a SIFI. Once those regulators make that determination, they may set specific laws, regulations and rules that would apply to those entities.
Virtually every SIFI operates at the top level as a holding company made up of numerous subsidiaries. It is not unusual for the subsidiaries to number in the hundreds. Even though the uppermost holding company is located in the home country, where it is subject, at that level, to that home regulator, the subsidiaries may be organized and operating in several different countries. Each subsidiary is then subject to potential regulation by every country where it actually conducts business.
At present (and for the likely foreseeable future) there is no such thing as a global regulator. Likewise there is no such thing as global insolvency, global bankruptcy, or the legal requirement for a global bail out. Each legal entity is treated separately. Each country is responsible (in theory) for containing a financial crisis that starts in their country from spreading across borders. Looking up from a country prospective as to what is a SIFI may be different than when looking down on the entire globe and attempting to determine what entities are significant. The FSB hired Mark Carney to write the report that coined the term G-SIFI for this reason in 2011.

","[{'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 25, 'end': 34}, {'match': 'bank', 'norm': 'bank', 'case': 'lower', 'exact': True, 'start': 59, 'end': 63}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 93, 'end': 102}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 145, 'end': 154}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 225, 'end': 234}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 321, 'end': 330}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 550, 'end': 559}, {'match': 'bank', 'norm': 'bank', 'case': 'lower', 'exact': True, 'start': 794, 'end': 798}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 1057, 'end': 1066}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 1237, 'end': 1246}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 1598, 'end': 1607}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 2608, 'end': 2617}]",True,policy,"{'policy': 0.915105938911438, 'regulatory body': 0.9085994958877563, 'bank': 0.8629457354545593, 'guideline': 0.839057981967926}"
595,595,FINMA,"The Swiss Financial Market Supervisory Authority (FINMA) is the Swiss government body responsible for financial regulation.  This includes the supervision of banks, insurance companies, stock exchanges and securities dealers, as well as other financial intermediaries in Switzerland.
The FINMA is an independent institution with its own legal personality based in Bern. It is institutionally, functionally and financially independent from the central federal administration and the Federal Department of Finance and reports directly to the Swiss parliament.
The FINMA is called German: Eidgenössische Finanzmarktaufsicht, French: Autorité fédérale de surveillance des marchés financiers, Italian: Autorità federale di vigilanza sui mercati finanziari. Its main name and its acronym are expressed in English so as to avoid the semblance of favouring any one of Switzerland's linguistic regions.
Anne Héritier Lachat was Chairwoman of the Board of Directors from 2011 until 1 January 2016 when Thomas Bauer, former Ernst & Young partner became Chairman.

","[{'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 102, 'end': 111}, {'match': 'securities', 'norm': 'securities', 'case': 'lower', 'exact': True, 'start': 206, 'end': 216}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 243, 'end': 252}]",True,regulatory body,"{'regulatory body': 0.9647939205169678, 'bank': 0.8215306401252747, 'guideline': 0.4744965732097626, 'policy': 0.4223021864891052}"
598,598,CBSL,"The Governor of the Central Bank of Sri Lanka (CBSL) functions as the chief executive of the Sri Lankan central bank. The post is the ex-officio chairperson of the Monetary Board of Central Bank of Sri Lanka. Since its establishment in 1950, the CBSL has been headed by sixteen governors. The governor has two deputies and several assistant governors. The inaugural officeholder was the American John Exter who served the Government of Sri Lanka in helping found the central bank. The position is currently held by Nandalal Weerasinghe who was appointed to the office on 8 April 2022 following the resignation of Ajith Nivard Cabraal.","[{'match': 'bank', 'norm': 'bank', 'case': 'lower', 'exact': True, 'start': 112, 'end': 116}, {'match': 'bank', 'norm': 'bank', 'case': 'lower', 'exact': True, 'start': 475, 'end': 479}]",True,bank,"{'bank': 0.7868174910545349, 'regulatory body': 0.7736954092979431, 'policy': 0.515430748462677, 'guideline': 0.4174519181251526}"
599,599,SLC,"The Mercedes-Benz R107 and C107 are sports cars which were produced by Mercedes-Benz from 1971 through 1989, being the second longest single series ever produced by the automaker, after the G-Class. They were sold under the SL (R107) and SLC (C107) model names as the 280 SL, 280 SLC, 300 SL, 350SL, 350SLC, 380SL, 380SLC, 420SL, 450SL, 450SLC, 450SLC 5.0, 500SL, 500SLC and 560 SL.
The R107/SL was a two-seat car with a detachable roof. It replaced the W113 SL-Class in 1971 and was replaced by the R129 SL-Class in 1989.
The predecessor W113 was notably successful in North America, with 19,440 units (40%) of 48,912 total units sold in the US. The R107 and C107 were even more focused on the American market, with specialized engines, bumper designs, headlights, and emissions management designs. The R107 and C107 sold 204,373 units in the US (68%) of 300,175 total units sold (excluding grey market sales into the US).It was the only Mercedes roadster during its entire production.The C107/SLC was a four-seat car with a fixed roof and an optional sliding steel sunroof. It replaced the W111 Coupé in 1971 and was replaced by the C126 S-class coupe in 1981.
The SLC Coupe models are now considered to become more collectible as they are much rarer due to their low production numbers and are expected by Classic car experts to be worth big money in years to come.","[{'match': 'money', 'norm': 'money', 'case': 'lower', 'exact': True, 'start': 1345, 'end': 1350}]",True,guideline,"{'guideline': 0.6694664359092712, 'regulatory body': 0.6490598320960999, 'policy': 0.4747088551521301, 'bank': 0.26948282122612}"
607,607,NAV,"Microsoft Dynamics 365 Business Central is an enterprise resource planning (ERP) system from Microsoft, part of the Microsoft Dynamics 365 product family.
The product is designed to assist with finance, manufacturing, customer relationship management, supply chains, analytics and electronic commerce operations of small to medium businesses (SMB).","[{'match': 'finance', 'norm': 'finance', 'case': 'lower', 'exact': True, 'start': 194, 'end': 201}]",True,Other Financial Entity,"{'guideline': 0.36047646403312683, 'policy': 0.14251308143138885, 'regulatory body': 0.054390035569667816, 'bank': 0.0147092305123806}"
615,615,OSFI,"The Office of the Superintendent of Financial Institutions (OSFI; French: Bureau du surintendant des institutions financières, BSIF) is an independent agency of the Government of Canada reporting to the Minister of Finance created ""to contribute to public confidence in the Canadian financial system"". It is the sole regulator of banks, and the primary regulator of insurance companies, trust companies, loan companies and pension plans in Canada.
The current Superintendent is Peter Routledge, who was appointed in June 2021. He replaced Jeremy Rudin, who retired. The term of the appointment is seven years.

","[{'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 283, 'end': 292}]",True,regulatory body,"{'regulatory body': 0.9910570383071899, 'bank': 0.9608720541000366, 'guideline': 0.8397596478462219, 'policy': 0.7703199982643127}"
627,627,CMSA,"The New York metropolitan area, also commonly referred to as the Tri-State area (NY, NJ and CT), is the largest metropolitan area in the world by urban landmass, at 4,669.0 sq mi (12,093 km2), and one of the most populous urban agglomerations in the world. The metropolitan area includes New York City (the most populous city in the United States), Long Island, the Mid and Lower Hudson Valley in the State of New York; the six largest cities in New Jersey: Newark, Jersey City, Paterson, Elizabeth, Lakewood, and Edison, and their vicinities; and six of the seven largest cities in Connecticut: Bridgeport, New Haven, Stamford, Waterbury, Norwalk, and Danbury, and their vicinities. The New York metropolitan area sits within the larger Northeast Megalopolis.
The New York metropolitan area is the most populous in the United States, as defined by both the Metropolitan Statistical Area (20.1 million residents in 2020) and the Combined Statistical Area (23.6 million residents in 2020). The metropolitan area is home to approximately 6% of the United States' population. It is the tenth largest urban agglomeration in the world. The New York metropolitan area continues to be the premier gateway for legal immigration to the United States, with one of the largest foreign-born populations of any metropolitan region in the world. The MSA covers 6,720 sq mi (17,405 km2), while the CSA area is 13,318 sq mi (34,493 km2), encompassing an ethnically and geographically diverse region. The New York metropolitan area's population is larger than that of the state of New York, and the metropolitan airspace accommodated over 130 million passengers in 2016.As a center of many industries, including finance,  international trade, publishing, real estate, education, fashion, entertainment, tourism, pharmaceutical, law, and manufacturing, the New York metropolitan region is one of the most important economic regions in the country. It is one of the most important financial, diplomatic, and media cities in the world. As of 2019, the New York metropolitan area is estimated to produce a gross metropolitan product (GMP) of $1.7 trillion. 
According to Forbes, in 2014, the New York metropolitan area was home to eight of the top ten ZIP codes in the United States by median housing price, with six in Manhattan alone. The New York metropolitan area also houses five of the top ten richest places in America, according to Bloomberg. These are Scarsdale, New York; Short Hills, New Jersey; Old Greenwich, Connecticut; Bronxville, New York; and Darien, Connecticut. The New York metropolitan region's higher education network comprises hundreds of colleges and universities, including New York University and two Ivy League universities: Columbia and Yale.","[{'match': 'finance', 'norm': 'finance', 'case': 'lower', 'exact': True, 'start': 1695, 'end': 1702}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 1962, 'end': 1971}]",True,bank,"{'bank': 0.5069205164909363, 'regulatory body': 0.35142526030540466, 'guideline': 0.2428564876317978, 'policy': 0.21735519170761108}"
